Title,Description,Category,Award,Due Date
Future Horizons,"The Future Horizons award winner will receive $2,000 as a scholarship towards tuition and fees at any accredited four-year college or university in the United States. Payment will be made directly to the student’s college or university. In order to be eligible for Balboa Horizons Future Horizons scholarship the applicant must have been affected by drug or alcohol abuse, either because they are recovering from drug or alcohol use or are the child of someone battling addiction. Applicants can choose to write a 500-1000 word personal essay or submit a video no more than 5 minutes long, about how they have been affected by addiction.",- None -,"$2,000",10/9/2019
Spiffy Drapery 101 Scholarship,"Spiffy Spools, a provider of handstitched custom curtains online, are proud to launch their first scholarship program for students interested in pursuing a career in interior design, architecture, furniture design, textile design, construction and other such home build, design and improvement related career streams. As part of this program, Spiffy Spools will award a scholarship of $1,000 to an outstanding student pursuing or intending to pursue studies at an accredited college or university in a relevant career stream. The company will also consider the winning student for a 30-day virtual internship with Spiffy Spools to gain industry experience and strengthen resume for future job opportunities.",Other,"$1,000",10/15/2019
Young Entrepreneur Scholarship,"Since a huge part of being a successful entrepreneur is investing in yourself and your education, we are offering one motivated undergraduate student a scholarship to help them on their entrepreneurial journey.",Business,"$1,000",10/15/2019
My Millennial Guide Annual Scholarship,My Millennial Guide is an education-focused online publishing platform. We strive to empower students to prepare for college and their career after graduating. Part of our mission is to help high school students to take part in pursuing higher education. We think one of the best ways to do that is helping students financially through a scholarship program. We are offering a yearly scholarship in the amount of $500.00 which will be provided to a student enrolled at either a Community College or University.,- None -,$500,10/15/2019
Beat Student Loans $500.00 Annual Scholarship,Beat Student Loans is an education-focused online publishing platform. We strive to empower students to better manage and organize their student loan debt. Part of our mission is to help students to take part in pursuing higher education. We think one of the best ways to do that is helping students financially through a scholarship program.,Other,$500,10/15/2019
P.E.O. Educational Loan Fund,"P.E.O. is a philanthropic organization where women CELEBRATE the advancement of women; EDUCATE women through scholarships, grants, awards, loans, and stewardship of Cottey College and MOTIVATE women to achieve their highest aspirations. The Educational Loan Fund (ELF) is to help women borrow money for their educational needs.",- None -,$0,10/22/2019
Greater Kansas City Community Foundation,The Greater Kansas City Community Foundation has more than 100 scholarship funds available. Scholarship opportunities vary widely from helping students with financial need to helping students with a specific major. Students can begin applying in January after their fall transcript is available. Most applications occur between February and April.,- None -,$0,10/22/2019
The Ultimate Diet CentreScholarship,"Far too many of us are overweight and getting diabetes, We believe educating the young children of today to make the right choices when it comes to eating and exercise. We have put together a scholarship to assist two students in paying for their education.",Other,$500,10/23/2019
Reveka Rose Scholarship,"We are inviting all female students to submit an original and interesting 1500-2500 article on Woman and Entrepreneurship. This will provide you the opportunity to showcase your enthusiasm and love for entrepreneurship, and will also give you experience in writing which will come in handy during your studies. Reveka Rose is offering one annual scholarship, to the value of $1000, to help aid a student through their studies.",Business,"$1,000",10/28/2019
The Sleep Judge State of Sleep Scholarship,"The Sleep Judge is pleased to announce our annual State of Sleep Scholarship helping to increase the awareness around the importance of sleep. Sleep is a crucial element to health and wellness and in today's world of busy schedules, school work loads and glowing screens, often sleep is something that is ignored. With the high costs of education, The Sleep Judge’s State of Sleep Scholarship aims towards the goal of helping individuals offset some of the costs of their studies and provide more awareness around the importance of sleep. This scholarship supports US and Canadian senior high schools and currently enrolled college students who wish to further their education.",Other,"$1,500",10/30/2019
"The $2,000 ""Privacy Matters"" College Scholarship","BestVPN.com aims to raise awareness amongst young people around the world about important privacy matters in this digital age. Twice per year, we will award $2,000 to the student who writes the best 500 - 1,000 word essay on the topic of privacy.",- None -,"$2,000",10/30/2019
1000$ Internet Marketing Scholarship From OfficeId,OfficeIdeas understands how important it is to keep up of with ever-changing technology through education. We have created a scholarship to help technological-minded students move forward with their studies. We hope to help support you while you advance your education.,Other,"$1,000",11/1/2019
nternet Marketing Scholarship From Officeideas,"We are excited to announce our website annual 1000$ scholarship, which is available to college students of all majors who submit a unique, catchy essay of 1000- 1500 words. One student will be selected to receive 1000$ in scholarship funds based on uniqueness and creativity applied in the essay of 1000 – 1500 words. Scholarship funds must be used to pay for qualified expenses, including tuition, books and on-campus room and board for the 2018-2019 academic year.",Other,"$1,000",11/1/2019
ZipHearing Hearing Health Awareness Scholarship,ZipHearing is offering its 2nd scholarship focussing on Hearing Health. Applicants must be an undergraduate and studying in the US.,Health Professions,"$1,000",11/1/2019
Inspiring Innovation Scholarship,"Bestazy.com is delighted to announce our company’s biannual $1000 scholarship, which is available to students of University of Kansas who can write an essay about upgrading a common everyday life product to make it either reusable, more environmentally clean or time efficient. Think time- and space-saving. Think reusability. Think about waste management. Students of all majors are encouraged to apply. Two students will be selected to receive 1000$ in scholarship funds based on their winning essay submissions on the 8th of June 2019 and 8th of November 2019 respectively.",Continuing Education,"$1,000",11/1/2019
Inspiring Innovation Scholarship,"Our company’s biannual scholarship is available to students of University of Kansas who can write an essay about upgrading a common everyday life product to make it either reusable, more environmentally clean or time efficient. Think time- and space-saving, reusability or waste management.","Architecture, Design & Planning","$1,000",11/1/2019
$3000 Coupon Marathon Scholarship,Coupon Marathon are offering a “$3000 Coupon Marathon Scholarship” to all the third-year and fourth-year students from University and Colleges all over the world.,Education,"$3,000",11/30/2019
Resume Writing Service Scholarship,"Our goal at ResumeGo is to help people further their careers by giving them the best chance of getting hired by the companies they want to work for. However, furthering your career doesn’t start with your job search, but rather with your education. Unfortunately, going to college is expensive, and sometimes too expensive for some students. Paying off student loans and tuition fees can be a huge strain on both the student and the family members involved. To help ease the burden of college tuition, ResumeGo has decided to launch the Resume Writing Service Scholarship Program with the goal of awarding scholarships to qualified high school seniors and college students.",Continuing Education,"$3,000",12/1/2019
Trendhim Talent Scholarship 2019,"The 2000€ Trendhim Talent Scholarship was created to empower and support students that have a passion for business, design, marketing and IT and would like to pursue a career in any of the below fields or start their own business.",Business,"$2,200",12/1/2019
Movavi Scholarship: $1000 for 2 Minutes’ Work!,"Create a fun video about yourself or your friends, share it on social media, and you could win $1000. Eligibility Requirements To be eligible for this scholarship award, you must be: - a legal resident of the United States or Canada or hold a valid student visa - enrolled in, or accepted into, a full-time undergraduate or graduate program at an accredited university, college, or school in the United States or Canada",- None -,"$1,000",12/1/2019
Montana Capital Scholarship Program,"Montana Capital Car Title Loans is proud to be supporting young adults in their path towards obtaining higher education. We’re offering a $1,000 scholarship to help a college student with his or her educational costs.",- None -,"$1,000",12/1/2019
MerchantCards Scholarship,"All student applicants must submit a comprehensive, unique and well-written 1000+ words essay on the following topic: “The Impact of Mobile payments on Spending. Highlight how mobile payments could lead shoppers to spend more frivolously at the register.”",Other,"$1,000",12/1/2019
Rentkidz Annual Scholarship,"The student must address the current topics in an essay that is to be no more than 2000 words. Some of the topics include: If you are taking out student loans, how will this affect your ability to buy a car or house when you graduate? If you weren’t able to attend college, would you feel confident in your ability to succeed in today’s business climate?",Other,$750,12/10/2019
National Garage Door Asthma & Allergy Scholarship,"As a family owned and operated company, all of us here at National Garage have seen firsthand how asthma and allergies can affect one’s life. We know that often times, the effects can appear without warning, and once activated, they can radically change someone’s day-to-day rituals. However, we don’t believe that these effects should prohibit anyone who’s working hard to pursue their dreams. That’s why we want to help a student with asthma or allergies by awarding one hard working, high achieving college student with a $1,000 scholarship.",Other,"$1,000",12/15/2019
The Advocates Scholarship,"The Advocates at Driggs, Bills & Day are happy to announce their new scholarship program. The personal injury attorneys at The Advocates work closely with accident victims and their families every day. They know the long-term effects an injury can have on peoples’ lives and strive to make our community and safer place. The applicant should submit an 300-500 word essay on the following topic: Millions of people each year are killed or injured in accidents involving cars or other motor vehicles. What are some ways YOU can contribute to making our roads and highways safer? What are some of the ways the laws can be changed to accomplish that goal? This scholarship is ongoing.There will be two annual awards of $1,000 in the Spring (deadline is December 15th) and Fall (deadline is May 30th). This scholarship is on going.",Social Welfare,"$1,000",12/15/2019
Senior Planning Social Work & Eldercare Award,"Senior Planning believes in giving back. We have chosen to help ensure the next generation of medical social workers are ready to provide the care that American seniors will need. Senior Planning shall, at the end of each application period, make between one and five awards, depending on the number of deserving applicants and the amount of funds available. Between one and five annual awards shall be made. The first place winner shall receive no less than $900 dollars.",Social Welfare,$900,12/15/2019
The Smart Lad Monthly Scholarship Program,"The purpose of “The Smart Lad Scholarship Program” is to help students who have a spirit of adventure, connect to their underlying passion and learn more about outdoors world in this fast era of technology. As part of this mission, we recognize that drive is something that is raised over time — and it all originates with investing in the fresh young individuals who will be the hard-working professionals of the future.",Business,"$1,250",12/15/2019
Houzz Residential Construction Management Scholars,Houzz is committed to supporting the next generation of construction professionals as they enter the world of residential construction. Open to students studying construction management at the undergraduate or graduate level who want to pursue residential construction management professionally.,"Architecture, Design & Planning","$2,500",12/15/2019
Houzz Women in Architecture Scholarship,Houzz is committed to supporting and encouraging women architecture students as they pursue their educational endeavors and enter the world of residential design. Open to female students studying architecture/architectural engineering at the undergraduate or graduate level.,"Architecture, Design & Planning","$2,500",12/15/2019
Houzz Residential Design Scholarship,"Houzz has been connecting homeowners with home industry professionals for years and we are dedicated to supporting and strengthening our growing community. We are looking for residential design students who share our passion. Open to students studying interior design, architecture or landscape architecture at the undergraduate or graduate level who want to pursue residential design professionally.","Architecture, Design & Planning","$2,500",12/15/2019
Houzz Sustainable Residential Design Scholarship,"Sustainability and green design are part of our core values at Houzz. We want to encourage practices that will reduce negative impacts on the environment by supporting students passionate about green building initiatives. Open to students studying architecture, interior design or landscape architecture at the undergraduate or graduate level who want to pursue sustainable residential design professionally.","Architecture, Design & Planning","$2,500",12/15/2019
AvaCare Medical,"The AvaCare Medical Scholarship recognizes those who are working to better the lives of our customers, students who are pursuing a degree in the medical field, with a prize of $1000 toward college tuition. This scholarship is awarded annually to one submission that tells about an inspiring act of kindness.",Health Professions,"$1,000",12/15/2019
Traumatic Brain Injury Scholarship,"To serve as a community outreach throughout the United States to students persevering despite the effects of severe head trauma, Bressman Law has created a $1,000 scholarship designed to heighten public awareness of the challenges American youth face following traumatic brain injuries. This scholarship will lend financial hope for a bright future to one deserving US student.",Other,"$1,000",12/15/2019
WisePick Scholarship,* Topic for essay: How home environment affects your life success? * The essay must cover the question in detail. * Scholarship must go to tuition purposes (check will be mailed directly to your college/university).,Social Welfare,"$1,500",12/15/2019
2019 Caitlan Wallace Memorial Scholarship,"Scholarship Subject : Intoxicated Driving - What can we do to raise awareness Every day, almost 30 people in the United States die in drunk-driving crashes—that's one person every 48 minutes in 2017 In a three-page essay please discuss the following: How can we prevent drunk driving ? What can be done to raise awareness about intoxicated driving ? Inform people about the dangers of drinking and driving We ask that this essay be a concisely written creative essay that can be shared in Memory of Caitlan Wallace and her tragic automobile death.",Continuing Education,"$1,500",12/15/2019
Financial Aid & Scholarships for Minorities,"The Center for Online Education is a collection of online educators and experts committed to providing informed, research-based guides for minority students pursuing college degrees online.",- None -,$0,12/18/2019
WowAuto's Adversity Beaters Scholarship,"WowAutos- a fast growing Automotive marketplace for buying, selling and leasing used and new automobiles- is pleased to offer a $500 scholarship for students in the fields of engineering, computer science, business, accounting and marketing. This scholarship for students in the fields of engineering, computer science, business, accounting and marketing. We will award the scholarship in the first week of January 2019 and thereafter every six months.",Business,$500,12/20/2019
MyHairWeb's Scholarship,"We at www.myhairweb.com believe in empowering students to fulfill their dreams and ambitions. We recognize that the key to a brighter future and a better tomorrow lies in the hands of an educated and informed youth. Which is why we have decided to dedicate a portion of our earnings to offer a 1000$ scholarship to students.This 1000$ Internet Marketing Scholarship will be available for both undergraduate as well as postgraduate students of Online and Digital Marketing. Given today’s technological landscape where information is freely available and internet memes shape opinions and initiate conversations, we have decided to offer our scholarship to Internet marketing students. This 1000$ Internet Marketing Scholarship will be available for both undergraduate as well as postgraduate students of Online and Digital Marketing. Those of you who are currently pursuing a degree in marketing are automatically eligible for this scholarship. All you have to do to apply is send in your credentials and write a small essay on the following topic. Tell us why you deserve this Opportunity: Write an essay of 2000-3000 words on “Internet Marketing_How to optimize the number of people actually accessing a website” Your essay should include the following: The relevance of Internet Marketing in buying through websites How has Internet marketing changing the shopping habits of people? We want creative answers, and to do this essay well, you must be a person who really understanding marketing, especially marketing online. The entry that speaks with the most practical while also providing creative actions will receive our 1000$ scholarship.",- None -,"$1,000",12/22/2019
SDL Achievers Scholarship,"At SameDayLoans365, we understand that there is little in this world that is more important than having access to education. While all types of education are important, we believe that learning to be financially responsible from a young age is one of the bases to living a happy life. SameDayLoans365 is proud to announce the awarding of $500 in scholarship to one winner in our SDL Achievers Scholarship 2018 Contest. The winning student will earn a one-time $500 lump scholarship to use towards education costs.",Other,$500,12/28/2019
Golden Key Scholarship,"My Scholarship Key, Inc. will offer a $500 scholarship to be awarded quarterly. The deadline is on the last day of each quarter (March 31, June 30, Sept 30, Dec 31). The drawing will be the following week after quarterly deadline.Must be 18 years old and above. Applicants must be 9th-12th grade high school students, college students or graduate school students who are legal U.S. residents or hold a valid student visa. Students may study any major and attend any college in the U.S.",- None -,$500,12/30/2019
12MonthsLoansBadCredit Scholarship,"12M Loans will grant a quarterly $500 Scholarship to students for covering education costs. The Scholarship will be recurring, and we will award it four times a year.",Business,$500,12/30/2019
AmericanMuscle Student Scholarship,"We are offering 4 currently enrolled students or high school seniors who are pursuing post-secondary education an opportunity to be awarded $2,000 in tuition assistance towards their upcoming semester! This scholarship is ongoing and will be available for both the spring and fall semesters each year.",Engineering,"$2,000",12/30/2019
Poshified,The Poshified.com Scholarship is open to all female identifying students enrolled in an accredited college or tradeschool. Poshified.com will award one $500 scholarship per semester (spring/fall) to the student who writes the best response to the question on the website.,Other,$500,12/31/2019
DishPromotions.com,"DISH Promotions, a leading online Satellite TV retailer, is excited to announce the $1000 DISHPromotions.com Scholarship. Both current students and incoming freshmen are eligible. Applicants must complete a 1000-word essay which encourages critical thinking. It’s important to note that this is a semi-annual scholarship that renews each year. So twice a year students will have the chance to earn $1000 toward your education.",Other,"$1,000",12/31/2019
Get-Frontier.com Scholarship,"Get-Frontier, a leading online Frontier Internet retailer, is excited to announce the $1000 Get-Frontier.com Scholarship. Both current students and incoming freshmen are eligible. Applicants must complete a 1000-word essay which encourages critical thinking. It’s important to note that this is a semi-annual scholarship that renews each year. So twice a year students will have the chance to earn $1000 toward their education.",Other,"$1,000",12/31/2019
DrugNews Scholarship,"DrugNews was created to be the #1 consumer resource for drug research, development, safety and litigation news. As part of this, we support those who research the safety of medications or help develop new drug concepts. We’re proud to announce our scholarship programs for the 2016 Spring, Summer and Fall semesters! These awards target those students planning a career in drug research, or with family members affected by a permanent drug injury. The scholarships will award $1,000 to a deserving undergraduate student each semester.",Other,"$1,000",12/31/2019
Vidgo TV Essay Scholarship,"OrderVIDGO.com, a leading VIDGO reseller, is excited to announce the $1000 OrderVIDGO.com Scholarship. Both current students and incoming freshmen are eligible..Applicants must complete a 1000-word essay which encourages critical thinking. It’s important to note that this is a semi-annual scholarship that renews each year. So twice a year you will have the chance to earn $1000 toward your education.",- None -,"$1,000",12/31/2019
Band with Success Scholarship,"Larson Jewelers created the Band With Success Scholarship to band together with both men and women who want to further their education and strive for a successful future. We are proud to offer a $1,000 scholarship each semester to students, age 16 and older, attending high school or enrolled in undergraduate, graduate and vocational programs in the US. Larson Jewelers understands the financial difficulties of higher education and would like to help. The application consists of three short essay questions and the winner of the scholarship will be announced on our website. The deadline to apply for Spring 2017 is April 15th, 2017. Learn more at www.larsonjewelers.com/#Scholarship",- None -,"$1,000",12/31/2019
Consumer Health Digest Scholastic Competition Scho,"This year for the first time ever, we are launching Scholastic Competition of $1000. We will be awarding $250 to each winning entry who writes a unique and well-researched Health Article, Designs a Creative and Innovative Info graphic or Video for different categories mentioned on our website ConsumerHealthDigest.com. Our competition is divided into four contests each with winning amount of $250 Showcase your talent by applying for the mentioned 2016 competition. Every eligible individual can participate in all the 4 competition, without any participation fee. So come and grab this opportunity!!",Health Professions,"$1,000",12/31/2019
DoSomething Scholarships,"DoSomething.org offers several scholarships at a time that are open to U.S. and Canadian citizens, as well as U.S. residents between the ages of 13 and 25. Scholarship awards vary from $1,000 to $5,000 and there are at least 5-7 live on our website at all times!",Social Welfare,"$1,000",12/31/2019
Healthy Eating Scholarship Program,"Smoothie Web is all about sharing nutritional information and promote awareness to healthy eating habits and a balanced diet. For this reason, we are pleased to announce the Smoothie Web Healthy Eating Scholarship Program.",Health Professions,"$1,000",12/31/2019
Medical Assistant Degrees Healthcare Scholarship,"Medical Assistant Degrees offer two $500 scholarships each year in June and December and we are currently accepting applicants for our December Scholarship. Our scholarships are not limited to students who are currently enrolled on a medical assistant program and if you have the passion and drive to begin a career in healthcare, then maybe you could be our next winner.",Health Professions,$500,12/31/2019
GOTRANSCRIPT Academic Scholarship Program,"$1000 Essay’s Writing Scholarship Program by GOTRANSCRIPT. Briefly talk about yourself and your academic/career short-term and long-term goals. Then, answer few questions which are mention here: https://gotranscript.com/scholarship-program This scholarship is offered during the Spring and Fall semesters (2017-2022). Applications are accepted year round",Continuing Education,"$1,000",12/31/2019
"ZipRecruiter $3,000 Creative Scholarship!","How It Works ZipRecruiter is offering a $3,000 scholarship to the winning college or university student with the most creative entry in our Autumn 2017 Scholarship Promotion. The Grand Prize Winner each quarter will receive the $3,000 scholarship.",Other,"$3,000",12/31/2019
A Place for Mom Senior Wisdom Video Scholarship,"A Place for Mom feels strongly about the importance of educating and supporting future caregivers of our elderly population. We are awarding five $1,000 scholarships to students who submit the most compelling video on how connections with seniors provide a long term benefit to individuals and to society as a whole. More details about the video topic can be found on our scholarship page.",Health Professions,"$1,000",12/31/2019
Cherokee Nation Scholarship Programs,The scholarships are intended to supplement educational needs for those pursuing a degree from an accredited post-secondary institution and shall be contingent on the availability of funding.,- None -,$0,12/31/2019
LED Lighting Scholarship,LED Lighting Scholarship encourages students to participate in volunteering to help people living in darkness and are pleased to offer a scholarship for applicants who show active participation in voluntary service and appreciate the application of cost-effective and energy efficiency LED lighting in third-world countries.,- None -,"$1,000",12/31/2019
Best Scholarship Search Platforms,Scholarships are one of the best ways to reduce these growing costs and scholarship search platforms exist to help students find the most relevant ones. These platforms compile large databases of available scholarships and provide filters to allow students to maximize their searches.,- None -,$1,12/31/2019
Dietspotlight 2018 Scholarship Essay,"Amount: Four winners will be chosen, based on quality of submitted essay. Highest award is $3,000. Three additional winners will be given $1000 each. Renewable/one-time: One time scholarship Population (UG, GR): Must be a current college student.",Medicine,"$3,000",12/31/2019
MilitaryBases.com College Scholarship Program,"Here at MilitaryBases.com, we believe in the men and women of our Armed Forces. Since 1998, we have provided the very best in online Military Base location services, including base descriptions, commissary information, location and other helpful tools for the brave men and women who protect our country. We are proud to announce our next step in supporting the United States Armed Forces – the MilitaryBases.com College Scholarship program! The MilitaryBases.com college scholarship program is an excellent supplement to other scholarships and we will be offering $1,000 to qualified applicants for the upcoming school year. This will be an ongoing scholarship and all members of the U.S. Armed Forces and their immediate family members are encouraged to apply if interested in attending higher education institutions and colleges. From everyone here at MilitaryBases.com, we thank you for your service and wish you the best of luck!",- None -,"$1,000",12/31/2019
Employment BOOST College Scholarships,"At Employment BOOST, as a professional resume writing service that cares about helping our clients obtain meaningful work and grow in their careers, we know how valuable a college education is to help create a work path that matters. We are thrilled to offer two quarterly $1,000 scholarships for graduating high school students and students currently attending college. One scholarship is open to students studying any major and is also eligible for students who are currently undecided about their course of study. The second scholarship is available to students who will major or are majoring in business or STEM (science, technology, engineering, or math). These two scholarships are offered each year to eligible students. Each winner is only eligible to receive financial aid from Employment BOOST once, ensuring there is plenty of opportunity for students who have never received the award and for those who have previously applied but were not selected. By awarding these scholarships to deserving students around the country each year, Employment BOOST is proud to play a role in fostering a new generation of professionals to pursue their dreams and make a positive contribution to their future employers and their communities. Applications are accepted year-round, with quarterly deadlines of April 1st, July 1st, October 1st, and January 1st and must be received within the time frame to be considered eligible to be awarded that quarter. Scholarship awards must be used for the following semester of each year in which they are received.",- None -,"$1,000",12/31/2019
Innovation in Education,"At LA Tutors, we believe that it’s more than just the grades that make a great well-rounded student. Each one of you is creative in his or her own way: some of you blog; others curate documentary photography on Instagram; still others find imaginative ways to solve problems in their public and private lives. Creativity is the air each one of us breathes, but sometimes we get so concerned with grades that we forget that imagination is our natural problem solver. One way to showcase your creativity is to innovate either by solving a problem, by designing something that helps others solve problems, or by enhancing our relationship with whatever matters to us. Innovation is what brings our technical skills and our hopes together in unique ways. It also provides opportunities for gaining real-working experience in a chosen field, and gives students the chance to connect with adults outside their circle who might be able to help students get into their top choice college or get an internship. In the end, innovation makes people look at the bigger picture, which is the best preparation for college and for life. We at LA Tutors are passionate about sparking the creative genius in students and would love to commend those outstanding students who have a made a difference in the lives of others in some innovative or technological fashion. In order to achieve this, we have established a scholarship for students who meet certain criteria.",Education,$500,12/31/2019
Brooks Instrument Undergraduate Engineering Schola,"Brooks Instrument will award $2,000 to a student enrolled in an engineering program at an accredited college or university. As a leader in instrumentation measurement and control, Brooks Instrument is committed to helping the next generation of engineers achieve their potential.",Engineering,"$2,000",12/31/2019
Health Education and Awareness Scholarship Program,"Authority Health awards annual grants to support research on topics concerning health and nutraceuticals across a range of disciplines. Students and scholars who are pursuing research on questions of significance to the field of health and nutraceuticals, or work that deals with the themes of our work in comparative perspective, may apply.",Health Professions,$500,12/31/2019
Simplr Artificial Intelligence and Technology,"Simplr is offering a $5,000 scholarship to a passionate and deserving student who submits a winning essay about artificial intelligence and the human element involved with this type of technology.",Business,"$5,000",12/31/2019
$1000 Scholarship For Students By Vicpas,The contest requires you to write 800-1200 word essay.,- None -,"$1,000",12/31/2019
DirectLoansLenders SCHOLARSHIP,"DirectLoansLenders advocates for quality education and understands that good education costs money. In fact, education costs are one of the most commonly cited reasons for taking a loan.",- None -,$500,12/31/2019
THE MESRIANI LAW GROUP SCHOLARSHIP GRANT,"In an effort to help bring forth excellent young lawyers to the forefront, MLG is offering a scholarship grant to determined and passionate future litigation lawyers. A scholarship grant amounting to $500 shall be awarded to students who demonstrate the qualities and unimpeachable character embodied by every MLG lawyer: Exceptional leadership skills Outstanding work ethic Commitment to serve less fortunate litigants Unquestionable integrity and moral character Resilience in the face of adversity",Law,$500,12/31/2019
DietSpotlight Importance of Good Health Essay,"Four winners will be chosen, based on quality of submitted essay. Highest award is $3,000. Three additional winners will be given $1000 each. Renewable/one-time: One time scholarship Population: Must be a current college student. Requirements: In 900 – 1,500 words, please explain the importance of good health, and how to overcome exterior factors/scenarios that can impact your path to a healthier life. Questions or comments about the Dietspotlight.com Research Leadership Scholarship Program can be sent to scholarship@dietspotlight.com We work directly with the schools when it comes to scholarship payments.",Other,"$3,000",12/31/2019
Simple Homebuyers Annual Scholarship,To apply for the Simple Homebuyers Annual Scholarship a minimal of 800+ word essay should be submitted with topics pertaining to real estate.,Other,"$1,000",12/31/2019
What the Whiz Scholarship,What The Whiz is a website that aims to provide full information about products reviews. We Pooch have decided to create a scholarship program for the students. This scholarship program is called as What the Whiz Scholarship. We think this scholarship may prove beneficial to the students currently pursuing their education to achieve their professional and personal goals.This scholarship shall be called as What the Whiz Scholarship. We will pay the one scholarship of $1250 to a college student who is currently pursuing his education.,Education,"$1,250",12/31/2019
Covers in Play Scholarship,Our scholarship award is known as Covers in Play Scholarship for the students who are currently pursuing their education in any educational institute in USA and Canada are eligible to apply. We understand that education involves huge expenses. Under this scholarship program we will award one scholarship of $1000 to the winning student.,Education,"$1,000",12/31/2019
$1000 Flood Lights Blog Scholarship,Flood Lights Blog is pleased to offer $1000 scholarship for students who are aware of energy-saving and appreciates the use of LED flood lights in daily lives.,- None -,"$1,000",12/31/2019
2019 Simplr Artificial Intelligence and Technology,"Simplr is offering a $7,500 scholarship to a passionate and deserving student who submits a winning essay in our second annual Artificial Intelligence and Technology Scholarship Contest. Applications for the 2019-2020 academic year are now being accepted. Apply today!",- None -,"$7,500",12/31/2019
Future Legal Leaders Scholarship Competition,The competition is open to any post-graduate law school or undergraduate student attending a four-year accredited university. The Sweet Law Group will award a scholarship to one outstanding student who demonstrates the drive and determination to succeed in the field of Law.,Law,"$2,000",12/31/2019
OppU Achievers,"The OppU Achievers Scholarship celebrates students who transform opportunity into results. It rewards achievement in its many forms and honors those who create opportunity for both themselves and others. Founded in 2016, the scholarship provides $2,500 for current or future education costs. Scholarship selections are made four times a year. Annually, the OppU Achievers Scholarship awards a total of $10,000 to students who have demonstrated outstanding achievement.",- None -,"$2,500",12/31/2019
$3000 Coupons Plus Deals Scholarship,"$3000 scholarship will be awarded to only one student from anywhere around the world (US, UK, Canada, Australia, Singapore, Vietnam,...) to help him/her pay for his/her education. Just by applying for this scholarship, you’re already off to a great start! Make an essay about how you can save money in your daily life. You should focus on saving tips. If your ideas are unique and helpful, you will get higher chances to win this scholarship.",Other,"$3,000",12/31/2019
Auto Pool Reel Scholarship,Our scholarship known as Auto Pool Reel Scholarship for all students currently pursuing educational studies in educational institutions in Canada and USA can apply. We understand that education is a large expense. Under our scholarship program we will select one scholarship award to the winning student of $1000.,Other,"$1,000",12/31/201
